Date,Maximum Temperature,Minimum Temperature,Average Temperature,Departure Temperature,HDD,CDD,Precipitation,New Snow,Snow Depth
2017-03-01,70,54,62.0,23.9,3,0,0.12,0.0,0
2017-03-02,64,35,49.5,11.2,15,0,0.00,0.0,0
2017-03-03,39,24,31.5,-7.1,33,0,0.00,0.0,0
2017-03-04,30,17,23.5,-15.3,41,0,0.00,0.0,0
2017-03-05,37,14,25.5,-13.6,39,0,0.00,0.0,0
2017-03-06,45,26,35.5,-3.9,29,0,0.00,0.0,0
2017-03-07,56,42,49.0,9.4,16,0,0.10,0.0,0
2017-03-08,59,47,53.0,13.1,12,0,0.02,0.0,0
2017-03-09,61,47,54.0,13.8,11,0,0.00,0.0,0
2017-03-10,47,23,35.0,-5.5,30,0,0.31,2.1,0
2017-03-11,29,17,23.0,-17.7,42,0,0.00,0.0,1
2017-03-12,29,19,24.0,-17.0,41,0,0.00,0.0,T
2017-03-13,36,20,28.0,-13.3,37,0,0.00,T,0
2017-03-14,32,21,26.5,-15.1,38,0,1.97,7.6,4
2017-03-15,26,20,23.0,-19.0,42,0,0.00,0.0,6
2017-03-16,39,24,31.5,-10.8,33,0,0.00,0.0,5
2017-03-17,47,29,38.0,-4.6,27,0,0.00,0.0,4
2017-03-18,39,34,36.5,-6.4,28,0,0.08,T,3
2017-03-19,47,34,40.5,-2.7,24,0,0.00,0.0,3
2017-03-20,52,33,42.5,-1.1,22,0,0.00,0.0,T
2017-03-21,59,42,50.5,6.6,14,0,0.00,0.0,0
2017-03-22,50,24,37.0,-7.2,28,0,0.00,0.0,0
2017-03-23,42,23,32.5,-12.1,32,0,0.00,0.0,0
2017-03-24,57,36,46.5,1.6,18,0,T,0.0,0
2017-03-25,62,42,52.0,6.7,13,0,0.01,0.0,0
2017-03-26,42,37,39.5,-6.1,25,0,0.14,0.0,0
2017-03-27,53,37,45.0,-1.0,20,0,0.26,0.0,0
2017-03-28,46,41,43.5,-2.9,21,0,0.72,0.0,0
2017-03-29,60,42,51.0,4.3,14,0,0.00,0.0,0
2017-03-30,52,38,45.0,-2.1,20,0,0.01,0.0,0
2017-03-31,43,37,40.0,-7.5,25,0,1.51,0.0,0

